is_virus	filename	libs
1	2020-02-17T21_09_26+00_00_107323.exe	kernel32.dll,user32.dll,httpapi.dll,winhttp.dll
0	Contig.exe	version.dll,kernel32.dll,user32.dll,gdi32.dll,comdlg32.dll,advapi32.dll
0	zip.exe	kernel32.dll,user32.dll,advapi32.dll
1	VirusShare_a317a348079f963b7a9f43673932391b	kernel32.dll,msvbvm60.dll
1	VirusShare_0cf29bb261c76e145b7aa53f6dea6b8c	mscoree.dll
1	2018-07-13T09_23_06-05_00_1459.exe	mscoree.dll
0	rtDrivers.x64.v.2.57.00.0383.exe	version.dll,shell32.dll,comctl32.dll,kernel32.dll,user32.dll,gdi32.dll,advapi32.dll,rpcrt4.dll,ole32.dll,oleaut32.dll
1	VirusShare_3aea6209c741657297096a12fffec1e0	kernel32.dll,msvcrt.dll,user32.dll
1	2019-01-22T05_43_43-06_00_19194.exe	kernel32.dll,user32.dll,advapi32.dll,shell32.dll,wtsapi32.dll,userenv.dll
0	vlc.exe	libvlc.dll,advapi32.dll,kernel32.dll,msvcrt.dll,shell32.dll,user32.dll,wininet.dll
1	VirusShare_d1f7432323be837571835966249dcc54	kernel32.dll,advapi32.dll,ole32.dll,shlwapi.dll,user32.dll,wininet.dll,wsock32.dll
0	java.exe	advapi32.dll,user32.dll,comctl32.dll,kernel32.dll
1	2018-11-16T16_49_47-06_00_14346.exe	kernel32.dll,user32.dll,msvbvm60.dll
0	uninstall-postgresql.exe	advapi32.dll,comctl32.dll,comdlg32.dll,gdi32.dll,imm32.dll,kernel32.dll,msvcrt.dll,msvcrt.dll,ole32.dll,oleaut32.dll,shell32.dll,user32.dll,ws2_32.dll
0	ar.exe	cygwin1.dll,cygintl-8.dll,kernel32.dll
1	VirusShare_76bef7921a815c90bd23d659ca5d35ec	kernel32.dll
1	2018-07-24T10_32_54-05_00_2783.exe	user32.dll,kernel32.dll
0	REGINI.EXE	advapi32.dll,kernel32.dll,ntdll.dll
1	2019-01-31T15_03_10-06_00_20751.exe	oleaut32.dll,kernel32.dll,user32.dll,advapi32.dll,comdlg32.dll
0	ODEPLOY.EXE	advapi32.dll,kernel32.dll,ole32.dll
1	VirusShare_0a1c0c993d1b57d2a05ca1f6b9cc3020	msvbvm60.dll
1	2020-02-17T21_09_26+00_00_102185.exe	kernel32.dll,user32.dll,gdi32.dll,advapi32.dll
0	nano.exe	cygwin1.dll,cygintl-8.dll,cygmagic-1.dll,cygncursesw-10.dll,kernel32.dll
0	tex4ht.exe	miktex209-kpathsea.dll,miktex209-unxemu.dll,miktex209-utf8wrap.dll,miktex209-app.dll,miktex209-core.dll,miktex209-util.dll,kernel32.dll,msvcp140.dll,vcruntime140.dll,api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-stdio-l1-1-0.dll,api-ms-win-crt-heap-l1-1-0.dll,api-ms-win-crt-math-l1-1-0.dll,api-ms-win-crt-locale-l1-1-0.dll
0	findstr.exe	msvcrt.dll,ntdll.dll,api-ms-win-core-file-l1-1-0.dll,api-ms-win-core-console-l1-1-0.dll,api-ms-win-core-console-l2-1-0.dll,api-ms-win-core-synch-l1-1-0.dll,api-ms-win-core-processenvironment-l1-1-0.dll,api-ms-win-core-string-obsolete-l1-1-0.dll,api-ms-win-core-memory-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-core-handle-l1-1-0.dll,api-ms-win-core-heap-l1-1-0.dll,api-ms-win-core-localization-l1-2-0.dll,api-ms-win-core-kernel32-legacy-l1-1-0.dll,api-ms-win-core-file-l1-2-2.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-synch-l1-2-0.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll,api-ms-win-core-apiquery-l1-1-0.dll,api-ms-win-core-delayload-l1-1-1.dll,api-ms-win-core-delayload-l1-1-0.dll
0	bibzbladd.exe	miktex209-app.dll,miktex209-core.dll,miktex209-util.dll,msvcp140.dll,vcruntime140.dll,api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-heap-l1-1-0.dll,api-ms-win-crt-math-l1-1-0.dll,api-ms-win-crt-stdio-l1-1-0.dll,api-ms-win-crt-locale-l1-1-0.dll,kernel32.dll
1	2018-08-16T01_35_13-05_00_3901.exe	c:\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\/\/\/windows\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\/\/\/system32\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\\/\/\/\/\\/\\/\/\/\/\/\\/\/\/\/\\\\\\\\\\\\\\\\\\\\\\\\\\/\/\/msvbvm60
0	esentutl.exe	msvcrt.dll,esent.dll,api-ms-win-core-file-l1-1-0.dll,api-ms-win-core-heap-l1-1-0.dll,api-ms-win-core-io-l1-1-0.dll,api-ms-win-core-heap-l2-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-core-handle-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-file-l2-1-0.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-synch-l1-2-0.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-memory-l1-1-0.dll,api-ms-win-core-synch-l1-1-0.dll,api-ms-win-core-processthreads-l1-1-1.dll,api-ms-win-core-localization-l1-2-0.dll,api-ms-win-core-debug-l1-1-0.dll,api-ms-win-core-sysinfo-l1-2-0.dll,api-ms-win-core-timezone-l1-1-0.dll,api-ms-win-core-datetime-l1-1-0.dll,api-ms-win-core-file-l1-2-0.dll,api-ms-win-core-console-l1-1-0.dll,api-ms-win-eventing-provider-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-3.dll,api-ms-win-core-processtopology-obsolete-l1-1-0.dll,api-ms-win-core-privateprofile-l1-1-0.dll,api-ms-win-core-threadpool-legacy-l1-1-0.dll,api-ms-win-core-delayload-l1-1-0.dll
1	VirusShare_8b5f221995228f297ec387f57e5a990d	kernel32.dll,user32.dll,advapi32.dll,comctl32.dll,ole32.dll,ws2_32.dll,shell32.dll,shlwapi.dll,crypt32.dll,oleaut32.dll,gdi32.dll,winhttp.dll,version.dll
1	VirusShare_e69e62cc5ed9262a56e8e5aba915ddd6	kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,comctl32.dll,ole32.dll,version.dll
1	2018-09-03T10_34_07-05_00_6845.exe	mscoree.dll
1	VirusShare_9568a43979d6a8df2125c8c434840a68	kernel32.dll,user32.dll,wsock32.dll
1	VirusShare_46a0867e7bd3213f88f0bd3f081c9b63	oleaut32.dll,user32.dll,kernel32.dll,kernel32.dll,kernel32.dll
1	VirusShare_4d966b029c38fdf4b41cfaea3c0e218a	user32.dll,advapi32.dll,kernel32.dll
0	which.exe	cygwin1.dll,kernel32.dll
0	driver_setup.exe	advapi32.dll,kernel32.dll,msvcrt.dll,ole32.dll,oleaut32.dll,shlwapi.dll,shell32.dll,msi.dll,user32.dll,setupapi.dll,msvcp60.dll
1	VirusShare_b3eb40546602752fbd3682792593983f	kernel32.dll,kernel32.dll,kernel32.dll,advapi32.dll,advapi32.dll,advapi32.dll,ntdll.dll,ntdll.dll,oleaut32.dll,shell32.dll,user32.dll,user32.dll
1	VirusShare_15111a170a06c01d90b9f064c8864038	kernel32.dll
1	2020-02-17T21_09_26+00_00_120751.exe	mscoree.dll
0	sss-5.1_setup.exe	kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,comctl32.dll,ole32.dll,version.dll
1	2019-05-20T03_54_33+00_00_42424.exe	kernel32.dll,user32.dll,gdi32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,wininet.dll,shlwapi.dll,netapi32.dll,version.dll,imagehlp.dll
0	msoev.exe	advapi32.dll,kernel32.dll,vcruntime140.dll,api-ms-win-crt-stdio-l1-1-0.dll,api-ms-win-crt-string-l1-1-0.dll,api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-math-l1-1-0.dll,api-ms-win-crt-locale-l1-1-0.dll,api-ms-win-crt-heap-l1-1-0.dll
1	VirusShare_cc3e35492c6782b2560e2b6917eb51bd	advapi32.dll,kernel32.dll,msvcrt.dll,user32.dll,ole32.dll,oleaut32.dll,tquery.dll,msshooks.dll,query.dll,shlwapi.dll,ntdll.dll
0	FeedbackCollector.exe	mscoree.dll
0	subst.exe	kernel32.dll,msvcrt.dll,ulib.dll,ntdll.dll
1	2020-02-17T21_09_26+00_00_99816.exe	wsock32.dll,version.dll,winmm.dll,comctl32.dll,mpr.dll,wininet.dll,psapi.dll,iphlpapi.dll,userenv.dll,uxtheme.dll,kernel32.dll,user32.dll,gdi32.dll,comdlg32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll
1	VirusShare_38af0830c3144800359245d53a8854b5	kernel32.dll,user32.dll,advapi32.dll,shell32.dll,shlwapi.dll
1	VirusShare_6c2b77bf379ee90cfc3261390ba7937d	kernel32.dll,advapi32.dll,shell32.dll,urlmon.dll,ws2_32.dll,msvcrt.dll,avicap32.dll
0	grops.exe	cygwin1.dll,cyggcc_s-seh-1.dll,cygstdc++-6.dll,kernel32.dll
1	2020-02-17T21_09_26+00_00_109107.exe	advapi32.dll,imm32.dll,kernel32.dll
1	2019-04-09T02_54_48+00_00_32124.exe	kernel32.dll,msvcrt.dll
1	VirusShare_4685172cc3fdc3a3f6bbe949d8416869	shlwapi.dll,kernel32.dll.
1	VirusShare_4120388b5c410b4678ec7f498a6da163	kernel32.dll,advapi32.dll,comctl32.dll,gdi32.dll,oleaut32.dll,user32.dll
0	netfx35_x64.exe	kernel32.dll,msvcrt.dll,advapi32.dll,user32.dll,ntdll.dll,comctl32.dll,shell32.dll
1	2018-11-25T08_10_24-06_00_15131.exe	kernel32.dll,user32.dll,gdi32.dll,winspool.drv,comdlg32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,shlwapi.dll,comctl32.dll,opengl32.dll,wininet.dll,netapi32.dll,avifil32.dll,winmm.dll,crypt32.dll,rpcrt4.dll,glu32.dll,authz.dll
1	2020-02-17T21_09_26+00_00_122474.exe	mscoree.dll
1	VirusShare_5bcdd0b2c2fbc7477d4f147b80c7a962	ntdll.dll,kernel32.dll
1	2019-01-27T15_04_12-06_00_20236.exe	kernel32.dll,winspool.drv
0	Difx64.exe	difxapi.dll,kernel32.dll,advapi32.dll
1	VirusShare_0d16b7952a771a4f05c3892eadb8e70c	msvbvm60.dll
0	globbing.exe	cygman-2-7-6-1.dll,cygwin1.dll,kernel32.dll
1	VirusShare_0f800f9cb365fd737c4db1ca1ff2b83b	kernel32.dll,msvcrt.dll,msvcp60.dll,msvfw32.dll
0	RCPMConfig.exe	kernel32.dll,user32.dll,gdi32.dll,winspool.drv,advapi32.dll,shell32.dll,comctl32.dll,shlwapi.dll,ole32.dll,oleaut32.dll,winmm.dll
0	nvstview.exe	winmm.dll,shlwapi.dll,nvimage.dll,d3d9.dll,gdiplus.dll,kernel32.dll,user32.dll,gdi32.dll,winspool.drv,comdlg32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,oleacc.dll
1	2020-02-17T21_09_26+00_00_102355.exe	wsock32.dll,version.dll,winmm.dll,comctl32.dll,mpr.dll,wininet.dll,psapi.dll,iphlpapi.dll,userenv.dll,uxtheme.dll,kernel32.dll,user32.dll,gdi32.dll,comdlg32.dll,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll
0	streaming_client.exe	kernel32.dll,user32.dll,advapi32.dll,shell32.dll,oleaut32.dll,ws2_32.dll,setupapi.dll,libavcodec-57.dll,libavutil-55.dll,libfreetype-6.dll,sdl2.dll,tier0_s.dll,vstdlib_s.dll,wldap32.dll,crypt32.dll
1	2020-02-17T21_09_26+00_00_100237.exe	msvbvm60.dll
1	2019-03-14T07_26_16+00_00_29882.exe	mscoree.dll
1	VirusShare_7682b75ea0d8c47e657dd15c0718382a	ws2_32.dll,kernel32.dll
1	VirusShare_3c5281dea84fa08dd0761219da3aa240	oleaut32.dll,advapi32.dll,user32.dll,kernel32.dll,kernel32.dll,user32.dll,gdi32.dll,kernel32.dll,advapi32.dll,oleaut32.dll,ole32.dll,kernel32.dll,oleaut32.dll,kernel32.dll
1	VirusShare_901e26c13a2310f5354bdaf32fa186f4	kernel32.dll,msvcrt.dll,shell32.dll,user32.dll
1	VirusShare_aa11230d3c6a51015a1c4fe276aebda5	advapi32.dll,user32.dll,kernel32.dll,kernel32.dll,kernel32.dll
0	rwr_game.exe	ogremain.dll,ws2_32.dll,libcurl.dll,pthreadvse2.dll,steam_api.dll,kernel32.dll,user32.dll,advapi32.dll,shell32.dll,msvcp90.dll,msvcr90.dll,dbghelp.dll,ois.dll,soundsystem.dll,winmm.dll
1	VirusShare_9d78bd8f5ee4bc2b8498a5985bb04181	kernel32.dll,advapi32.dll,shell32.dll,url.dll,user32.dll
0	vixDiskMountServer.exe	api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-math-l1-1-0.dll,api-ms-win-crt-stdio-l1-1-0.dll,api-ms-win-crt-locale-l1-1-0.dll,api-ms-win-crt-heap-l1-1-0.dll,api-ms-win-crt-string-l1-1-0.dll,vcruntime140.dll,kernel32.dll,msvcp140.dll,vixdiskmountapi.dll,api-ms-win-crt-utility-l1-1-0.dll,api-ms-win-crt-convert-l1-1-0.dll,api-ms-win-crt-environment-l1-1-0.dll,api-ms-win-crt-filesystem-l1-1-0.dll,user32.dll,shell32.dll,advapi32.dll
0	psftp.exe	advapi32.dll,user32.dll,kernel32.dll
1	VirusShare_f118662f1ae5860ad5d03ce7a1a67422	kernel32.dll,user32.dll,oleaut32.dll,advapi32.dll,kernel32.dll,user32.dll,comctl32.dll,advapi32.dll
1	2018-07-14T20_16_06-05_00_1694.exe	c:\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\/\/\/windows\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\/\/\/system32\\\\\\/\/\/\/\//\\\\\\\\\\\\\\//////\\\/\/\/\/\\/\\/\/\/\/\/\\/\/\/\/\\\\\\\\\\\\\\\\\\\\\\\\\\/\/\/msvbvm60
1	2020-02-17T21_09_26+00_00_105823.exe	kernel32.dll,alqwx.dll....
1	VirusShare_86007d7f9db2d4c78b1c4823d1b38d86	kernel32.dll,user32.dll,gdi32.dll,winspool.drv,advapi32.dll,comctl32.dll
1	VirusShare_0da4a24cbe08e1d12ffcaac13f405e01	kernel32.dll,user32.dll
1	2020-02-17T21_09_26+00_00_118566.exe	kernel32.dll,advapi32.dll,comctl32.dll,comdlg32.dll,gdi32.dll,ole32.dll,oleaut32.dll,oledlg.dll,olepro32.dll,shell32.dll,user32.dll,winspool.drv
1	VirusShare_30033b5417ca4bf857718fa5fd5f2769	kernel32.dll
0	mscorsvw.exe	advapi32.dll,kernel32.dll,msvcr120_clr0400.dll,mscoree.dll,ole32.dll,oleaut32.dll,user32.dll
1	VirusShare_6b7cf30486fb0236ae73795785f0e372	msvbvm60.dll
1	2020-02-17T21_09_26+00_00_119797.exe	mscoree.dll
1	VirusShare_3f581c2d030e6a19af593191388aa592	kernel32.dll,shell32.dll,wsock32.dll,urlmon.dll,wininet.dll,user32.dll,advapi32.dll,crtdll.dll
1	VirusShare_323da1e13224dbddd305874a22f4349a	kernel32.dll,user32.dll,gdi32.dll,shell32.dll,advapi32.dll,comctl32.dll,ole32.dll,version.dll
1	2019-03-19T06_39_12+00_00_30380.exe	kernel32.dll,msvcrt.dll
1	VirusShare_97147fbc0b0f6c95ca8dab2fe0ffc670	kernel32.dll,msvcrt.dll,user32.dll
1	VirusShare_374e6df550ae008f20ce911b810d2d30	kernel32.dll,user32.dll,advapi32.dll,oleaut32.dll,kernel32.dll,advapi32.dll,kernel32.dll,mpr.dll,gdi32.dll,user32.dll,wsock32.dll,winmm.dll,msacm32.dll,advapi32.dll,shell32.dll,ws2_32.dll,wininet.dll,urlmon.dll,avicap32.dll
0	NetEvtFwdr.exe	msvcrt.dll,ntdll.dll,api-ms-win-eventing-classicprovider-l1-1-0.dll,api-ms-win-core-heap-l1-1-0.dll,api-ms-win-core-com-l1-1-0.dll,rpcrt4.dll,api-ms-win-core-synch-l1-1-0.dll,oleaut32.dll,api-ms-win-eventing-consumer-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-eventing-controller-l1-1-0.dll,api-ms-win-core-threadpool-l1-2-0.dll,api-ms-win-security-base-l1-1-0.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-handle-l1-1-0.dll,api-ms-win-core-synch-l1-2-0.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll,umpdc.dll
1	VirusShare_19596b59096bfb64cab50ab7a2bd29a4	msvbvm60.dll
1	VirusShare_02b81ee21dd5ec08bcb644c605600860	kernel32.dll,user32.dll,gdi32.dll,winmm.dll,winspool.drv,advapi32.dll,shell32.dll,ole32.dll,oleaut32.dll,comctl32.dll,ws2_32.dll,comdlg32.dll
1	VirusShare_87821c27df15e04540ef717cfac38d77	kernel32.dll,advapi32.dll,shell32.dll,urlmon.dll,user32.dll
1	VirusShare_9be042e0cf59eb29a7e1aa5beef15be7	msvcrt.dll,kernel32.dll,gdi32.dll,user32.dll
0	OposHost.exe	msvcp_win.dll,api-ms-win-crt-runtime-l1-1-0.dll,api-ms-win-crt-private-l1-1-0.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-heap-l1-1-0.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-localization-l1-2-0.dll,oleaut32.dll,api-ms-win-core-debug-l1-1-0.dll,api-ms-win-eventing-classicprovider-l1-1-0.dll,api-ms-win-core-synch-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-core-com-l1-1-0.dll,api-ms-win-core-io-l1-1-1.dll,api-ms-win-security-sddl-l1-1-0.dll,api-ms-win-core-namedpipe-l1-1-0.dll,api-ms-win-core-file-l1-1-0.dll,api-ms-win-core-io-l1-1-0.dll,api-ms-win-core-handle-l1-1-0.dll,api-ms-win-core-processthreads-l1-1-1.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll,api-ms-win-core-interlocked-l1-1-0.dll,api-ms-win-rtcore-ntuser-synch-l1-1-0.dll,api-ms-win-rtcore-ntuser-window-l1-1-0.dll
0	qemu-edid.exe	kernel32.dll,msvcrt.dll,libgcc_s_seh-1.dll,libglib-2.0-0.dll
1	2019-06-24T07_34_42+00_00_21134.exe	mscoree.dll
1	2018-08-28T16_58_04-05_00_5785.exe	kernel32.dll,user32.dll
1	VirusShare_ce84d6b3a6d7e5baa99a9531df5687b6	user32.dll,kernel32.dll
1	VirusShare_27cf3dfa3c450be4fc35266597543d34	kernel32.dll,user32.dll,advapi32.dll,kernel32.dll,user32.dll,kernel32.dll
0	TFSSecurity.exe	mscoree.dll
0	ksetup.exe	advapi32.dll,kernel32.dll,msvcrt.dll,wldap32.dll,logoncli.dll,sspicli.dll,srvcli.dll,netutils.dll,api-ms-win-core-libraryloader-l1-2-0.dll,api-ms-win-core-synch-l1-2-0.dll,api-ms-win-core-rtlsupport-l1-1-0.dll,api-ms-win-core-errorhandling-l1-1-0.dll,api-ms-win-core-processthreads-l1-1-0.dll,api-ms-win-core-profile-l1-1-0.dll,api-ms-win-core-sysinfo-l1-1-0.dll,api-ms-win-core-heap-l1-1-0.dll,api-ms-win-core-console-l1-1-0.dll,api-ms-win-core-file-l1-1-0.dll,api-ms-win-core-localization-l1-2-0.dll,api-ms-win-core-string-l1-1-0.dll,ntdll.dll
1	VirusShare_e57d256138f21eb7dffbb295b0358227	kernel32.dll,ole32.dll,user32.dll,oleaut32.dll,shlwapi.dll,advapi32.dll
